question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type
A victim of Tsunami has difficulty in overcoming the experience. She still recollects the happening in dreams and thoughts. The most likely diagnosis is,"PTSD is characterised by recurrent and intrusive recollections of the stressful event, either in flashbacks (images, thoughts, or perceptions) and/or in dreams. There is an associated sense of re-experiencing of the stressful event. There is marked avoidance of the events or situations that arouse recollections of the stressful event, along with marked symptoms of anxiety and increased arousal. The other impoant clinical features of PTSD include paial amnesia for some aspects of the stressful event, feeling of numbness, and anhedonia (inability to experience pleasure). Ref: A Sho Textbook of Psychiatry, Niraj Ahuja, 7th Edition, pg. no. 112",1,Post traumatic stress disorder,Conversion disorder,Panic disorder,Phobia,Psychiatry,Anxiety disorders stress disorders and grief,8dc0e2f2-b982-457b-a5eb-512c51653fb5,single
Which of the following has to be present for diagnosis of major depressive disorder,"In typical depressive episodes of all three varieties described below (mild, moderate, and severe), the individual usually suffers from depressed mood, loss of interest and enjoyment, and reduced energy leading to increased fatigability and diminished activity. Reference: International classification of diseases 10, page 119.",1,Loss of interest or pleasure,Recurrent suicidal tendency,Insomnia,Indecisiveness,Psychiatry,Mood disorders,d22a7f07-c598-452c-b01f-e93347e08a46,single
SSRIs should be carefully used in the young for the management of depression due to increase in:,The use of SSRIs can increase suicidal ideations. This side effect is more common in children and adolescents and hence these medications should be used cautiously in that age group.,3,Nihilism ideation,Guilt ideation,Suicidal ideation,Envious ideation,Psychiatry,Mood Disorders,0400871c-d648-45f2-9b71-9d7bf7d65a88,single
Treatment of choice for generalized anxiety disorder is?,"Ans is 'a' i.e. Benzodiazepines Treatment of generalized anxiety disorderA Benzodiazepines are the drug of choice. Drugs in this group are diazepam, Lorazepam, Alprazolam, Oxazepam, chlordiazepoxide.B. Other drugs used are buspirone; TCA (amptriptyline, imipramine, clomipramine, desipramine); SSRIs (Fluoxetine, Sertaline, Paroxetine, Citalopram); SNRIs (Venalafaxine), p-blockers.C. Anticonvulsants with GABAergic properties may also be effective against anxiety, e.g., Gabapentin, Oxcarbazepine, Tiagabine, pregabalin, and Valproate (divalporex).",1,Benzodiazepines,Neuroleptics,Beta blockers,Barbiturates,Psychiatry,Anxiety & Stress,74fc2f1d-6b36-435d-a477-59f4377e89ff,single
Beta blockers are indicated in -,Ans. is 'b' Anxiety Antianxiety Drugs areBenzodiazepinesB BlockersBuspironeMeprobamate & Hydroxyzine,2,Phobic disorders,Anxiety,Schizophrenia,Mania,Psychiatry,Generalized Anxiety Disorder,a8d54e61-b164-450b-a2b8-6644ca290abc,single
Psychosurgery is used in,"Psychosurgery can be used in the treatment of OCD that has become intractable and is not responding to other methods of treatment. The best responders are usually those who have significantly associated depression, although pure obsessives also respond. The main benefit is the marked reduction in associated distress and severe anxiety. (Ref: a sho textbook of psychiatry, Niraj Ahuja, 7th edition, pg no.98)",3,Phobia,Generalized anxiety,OCD,Depression,Psychiatry,Treatment in psychiatry,60c1bc25-7c92-4508-824b-05c52f3fc569,single
Trichotillomania-,"Ans. is 'c' i.e., Compulsive hair pulling o As there is no organic or behavioral disorders, this girl is suffering with impulse control disorder of compulsive hair pulling, known as Trichotillomania.Impulse control disordero These disorders are characterized by failure to resist an impulsive behavior that may be harmful to self or others. There may be a feeling of release of tension by doing the act and a feeling of guilt after the act is over.Important impulse control disorder are : -Pyromania (Pathological fire setting)Kleptomania (Pathological stealing)Trichotillomania (Compulsive hair pulling)Pathological gamblingIntermittent explosive disorderImpulse control disorder not otherwise specifiedOniomania (Compulsion to shop/buying)Internet compulsion (Internet addiction)Cellular or Mobile phone compulsionCompulsive sexual behavior (sexual addiction).",3,Irresistable desire to set fire,Irresistable desire to steal things,Compulsive hair pulling,Pathological gambling,Psychiatry,Mood Disorders,7ad2eedb-f2c8-4739-8115-e398906116fa,single
Suicide is most common in -,"Ans. is 'a' i.e., Depression Causes/Risk factors for suicidePsychiatric disorders : - Depression (most common), alcoholism (2nd me), Drug/Substance dependence, Schizophrenia, Dementia.Physical illness : - Cancer, AIDS, Multiple sclerosis, Head trauma.Psychosocial factors : - Failure in love, marital difficulties, family dispute, illegitimate pregnancy.Biological factors : - Decrease in serotoninOther - Male sex, Age > 40 years, Single (Unmarried, divorced or widowed), previous suicide attempt, social isolation.",1,Depression,Alcohol dependence,Dementia,Schizophrenia,Psychiatry,Symptoms & Signs ,37fab6fd-1212-47a2-9138-a20634367df3,single
Depression patients in developing countries most prominently show which of the following feature?,"Multiple physical symptoms (such as heaviness of head, vague body aches) are paicularly common in the elderly depressives and depressed patients from the developing countries (such as India) * MC psychiatric disorder in India: Depression * Neurotransmitter involved: Serotonin and nor-epinephrine * MC cause of suicide: DepressionRisk features of suicide in depression: * Endogenous type of depression * Psychotic depression * MC type of post-puerperal psychosis: Depression * Nihilistic ideas: Seen in depression",3,Low mood,Sleep disturbance,Vague body aches,Suicidal tendancy,Psychiatry,Mood Disorders,1586c80e-f05f-4712-b337-5d6ed0def95a,single
Disruption or disorganization of biological rhythm is observed in,"Disturbance of biological functions is common with depression, with insomnia (or sometimes increased sleep), loss of appetite and weight (or sometimes hyperphagia and weight gain), and loss of sexual drive. When the disturbance is severe, it is called as melancholia ( somatic syndrome) The somatic syndrome in depression is characterised by: a. A significant decrease in appetite or weight b. Early morning awakening, at least 2 (or more) hours before the usual time of awakening c. Diurnal variation, with depression being worst in the morning d. Pervasive loss of interest and loss of reactivity to pleasurable stimuli e. Psychomotor agitation or retardation. Ref: A Sho Textbook of Psychiatry, Niraj Ahuja, 7th Edition, pg. no.72",3,Schizophrenia,Anxiety,Depression,Mania,Psychiatry,Mood disorders,80c83132-0c7b-452d-8218-757339c85c3d,single
Post traumatic stress syndrome is due to -,"REACTION TO STRESS AND ADJUSTMENT DISORDERS This category in ICD-10 consists of disorders which are temporally related to an exceptionally stressful life event ( acute stress reaction and post-traumatic stress disorder) or a significant life change (adjustment disorders) immediately before the onset of illness. Ref: A Sho Textbook of Psychiatry, Niraj Ahuja, 7th Edition, pg. no.111",4,Head injury,Cardiovascular Disease,Minor stress,Major life threatening events,Psychiatry,Anxiety disorders stress disorders and grief,0aa3cb66-5be9-4b79-91db-b4390572c551,single
Which of the following disease is seen only in females?,"ANSWER: (C) Rett's diseaseREF: Kaplan 9th ed p. 1215RETT SYNDROMEIt is a neurodevelopmental disorder of the grey matter of the brain that almost exclusively affects females.Normal prenatal and post natal growth, normal psychomotor development through first 5 months of life.The clinical features include small hands and feet and a deceleration of the rate of head growth between 5-48 months (including microcephaly in some).Loss of previously acquired hand skillsRepetitive hand movements, such as wringing and/or repeatedly putting hands into the mouth, are also noted and also.People with Rett syndrome are prone to gastrointestinal disorders and up to 80% have seizures. They typically have no verbal skills, and about 50% of individuals affected are not ambulatory. Scoliosis, growth failure, and constipation are very common and can be problematic.ASPERGER SYNDROME:AKA Asperger's syndrome or Asperger disorder is an autism spectrum disorder (ASD) that is characterized by significant difficulties in social interaction, alongside restricted and repetitive patterns of behavior and interests.It differs from other autism spectrum disorders by its relative preservation of linguistic and cognitive development. Pursuit of specific and narrow areas of interest is one of the most striking features of AS.Individuals with AS often have excellent auditory and visual perception .Motor clumsiness and inability to appreciate finer nuances.",3,Autism,Asperger's syndrome,Retts disease,Colard'd disease,Psychiatry,Mood Disorders,aebc9e17-68e4-4d78-ad6c-48bf16104c65,single
"A young lady lost her job, loss of appetite wakes up at 3 am. What's the diagnosis","In this question, the details are inadequate, however among the given options the best answer is A, depression",1,Depression,Schizophrenia,OCD,Mania,Psychiatry,Mood disorders,f88da465-cb31-4d43-9dcf-da19b9481d2a,single
