id,question,correct_answer,model_answer,is_correct
8dc0e2f2-b982-457b-a5eb-512c51653fb5,A victim of Tsunami has difficulty in overcoming the experience. She still recollects the happening in dreams and thoughts. The most likely diagnosis is,A,A,true
d22a7f07-c598-452c-b01f-e93347e08a46,Which of the following has to be present for diagnosis of major depressive disorder,A,A,true
0400871c-d648-45f2-9b71-9d7bf7d65a88,SSRIs should be carefully used in the young for the management of depression due to increase in:,C,C,true
74fc2f1d-6b36-435d-a477-59f4377e89ff,Treatment of choice for generalized anxiety disorder is?,A,C,false
a8d54e61-b164-450b-a2b8-6644ca290abc,Beta blockers are indicated in -,B,B,true
60c1bc25-7c92-4508-824b-05c52f3fc569,Psychosurgery is used in,C,invalid answer,false
7ad2eedb-f2c8-4739-8115-e398906116fa,Trichotillomania-,C,C,true
37fab6fd-1212-47a2-9138-a20634367df3,Suicide is most common in -,A,A,true
1586c80e-f05f-4712-b337-5d6ed0def95a,Depression patients in developing countries most prominently show which of the following feature?,C,C,true
80c83132-0c7b-452d-8218-757339c85c3d,Disruption or disorganization of biological rhythm is observed in,C,C,true
0aa3cb66-5be9-4b79-91db-b4390572c551,Post traumatic stress syndrome is due to -,D,D,true
aebc9e17-68e4-4d78-ad6c-48bf16104c65,Which of the following disease is seen only in females?,C,C,true
f88da465-cb31-4d43-9dcf-da19b9481d2a,"A young lady lost her job, loss of appetite wakes up at 3 am. What's the diagnosis",A,A,true
a5f14e18-3470-49df-bf06-9aa54cf40abd,Rapid cycling is associated with which illness:,C,C,true
acd0169d-8539-46e3-a289-41fca0afcff4,Most common symptom associated with adult OCD?,A,A,true
7b37ca1d-7166-46df-b411-06cea03ab88c,Ganser syndrome is a feature of -,C,B,false
7c9f6920-5687-4255-98b9-1aa652db9fd1,Rett's syndrome is characterized by -,A,invalid answer,false
2fbe89f3-b583-4843-8e59-6210a21d8392,Hypocretin system plays a critical role in which of the following disorders?,D,D,true
1efb6fb5-7097-4cb3-8bca-059f7bf70530,Early morning awakening is a feature of,C,C,true
09608511-2c68-4690-9bf5-c02eac8764a1,Delusion is the disorder of:,A,A,true
cbd6afda-5de0-4038-985d-14d344469101,What is affected in bipolar disorder,A,A,true
f37d78a8-434a-4646-8cad-5f91edc1c4bb,Trichophagia is characterized by -,B,B,true
6d575ab1-0e65-4686-ae82-c63da550fca2,"Tics, hair pulling, nail biting behavior are best treated with?",B,B,true
923f811b-cc57-45e4-9134-8c50221a63be,Post traumatic stress disorder is due to?,D,D,true
6e3847de-d9c2-4d30-98b7-e952106441f1,A bipolar disorder patient is kept on lithium therapy. As a doctor when are you going to ask the nurse to get serum lithium levels checked ?,B,C,false
2f17f1b7-ca39-4a56-af39-0ce64a5d371b,Bipolar II disorder includes -,D,D,true
5ac5cc60-3843-4ed8-abdd-2c9cc47f6e87,Which of the following is a classical symptom of depression?,C,C,true
5a9bbc11-81f5-4455-bfb1-647ca3a80585,Lithium is used in prophylaxis of,D,D,true
