id,question,correct_answer,model_answer,is_correct,topic_category
2,"A 30 German non-binary individual has no prior medical or psychiatric history. Three weeks ago, they were crossing the street when a car ran a red light and almost hit them. For the next three weeks, they have felt profoundly anxious, tense and irritable. They have developed difficulty falling asleep and often thinks of this event. They insist on driving everywhere in their walkable neighborhood. What is the most likely diagnosis?",A,A,true,diagnosis
3,"An 32 American man has a history of ADHD and no psychiatric history. He lives with his mom and has started a new job. Initially, he seems to enjoy his work and spends time with friends after his shifts. Over 3.5 months, he starts missing work and refuses to leave his room. His mom starts to find food hidden in his room as well as plastic bottles filled with urine. His mom can also hear him whispering to himself in his room. What is the most likely diagnosis?",B,B,true,diagnosis
4,"A 33 Chinese man has hypertension and no psychiatric history. He presents with difficulty concentrating. He started a new job three weeks and feels like he cannot complete tasks or focus like he used to. He believes this has impacted his self-esteem. He is typically very engaged in his community and sociable, but has stayed at home feeling tired and worthless. Over the past week he has started hearing voices that tell him that he is worthless and that he should end his life. What is the most likely diagnosis?",C,C,true,diagnosis
5,A 55 Chinese female has a history of hyperlipidemia. She has experienced severe anxiety for the past several years. She avoids the grocery store and any setting where she has to interact with other people. She has fear that others will find her odd and notice that she becomes flushed when anxious. What is the most likely diagnosis?,D,D,true,diagnosis
6,"A 21 Canadian non-binary individual has asthma. They have experienced depressed mood for ""as long as they can remember"". They describe feeling fatigued, hopeless, and without appetite most of the time. They describe that there has never been a consistent period when they found enjoyment in life. They do not use drugs or alcohol. What is the most likely diagnosis?",E,E,true,diagnosis
7,"A 37 Chinese woman has hypertension. She describes low mood over the past 4 years. She states that she has no hope for the future and only eats one meal per day. She has thoughts of suicide and recently attempted via firearm. She typically drinks 1 L of alcohol per day, which she has done for several years. What is the most likely diagnosis?",D,A,false,diagnosis
8,"A 31 German woman has a history of eczema and major depressive disorder. For the past 4 months, she has been concerned that her wife is spying on her with a video camera that is positioned in the DVD player. This has caused distrust and arguments between the couple. They are now considering divorce. She has no other positive psychotic symptoms or negative symptoms. What is the most likely diagnosis?",A,D,false,diagnosis
9,"A 24 German woman has a history of type 1 diabetes and generalized anxiety disorder. She presents to care after her husband died in a car accident. 3 months later, she continues to be struck by feelings of sadness and inability to enjoy her work as a surf instructor. She worries that life will never get better and feels worthless after losing her husband. She thinks about ending her life due to feeling that she no longer deserves to live. What is the most likely diagnosis?",A,D,false,diagnosis
10,"A 37 German woman has a history of generalized anxiety disorder and no prior medical history. She was shopping at the mall and experienced an episode of chest tightness, dizziness, tachycardia, and fear of death that lasted 30 minutes. For the following month she experienced worry about future attacks, prompting her to avoid going to the mall and eventually to stop leaving the house, missing work. What is the most likely diagnosis?",E,E,true,diagnosis
11,"A 30 Japanese man with no medical and no psychiatric history was recently divorced. He has started sleeping 2-3 hours per night to clean his house. He appears irritable. He spent his most recent paycheck on a new car. Several days later, he starts hearing voices telling him to kill himself. He is found knocking on his neighbor's door in the middle of the night. Police are called and he is brought to the hospital for psychiatric admission. What is the most likely diagnosis?",C,C,true,diagnosis
22,"A 33 Indian man is being treated for major depressive disorder. He has been treated with escitalopram 20 mg daily with some improvement in mood although continues to experience low mood, lack of motivation and fatigue. His psychiatrist decides to add aripiprazole to his current regimen. He has never been treated with an antipsychotic medication before. What starting dose would be most appropriate in this case?",A,E,false,treatment
23,A 20 Brazilian patient is being treated for generalized anxiety disorder. Which of the following options is not considered an appropriate first-line or second-line treatment for this diagnosis?,E,E,true,treatment
24,Which of the following is not an indication for the use of electroconvulsive therapy?,B,B,true,treatment
25,"A 26 Canadian male is admitted to the psychiatric inpatient unit for treatment of decompensated schizophrenia. He is being treated with risperidone. After several days of treatment, he is noted to be pacing the unit for several hours a day. He describes feeling restless to his psychiatrist. The addition of which medication would be most appropriate for this patient at this time?",D,D,true,treatment
26,"A 48 Nigerian woman is admitted to the psychiatric inpatient unit after a suicide attempt via intentional ingestion of gabapentin. She has a history of 7 psychiatric admissions for suicidal behaviors. When interviewed by her psychiatrist, she describes that a break-up with her boyfriend triggered her suicide attempt. She describes experiencing chronic feelings of emptiness and often struggling with outbursts of intense anger. What mode of therapy would be most effective in treating this patient?",A,A,true,treatment
27,Which of the following factors is not associated with an increased risk of suicide attempt?,E,E,true,treatment
28,A 23 Chinese patient presents to the psychiatrist. He describes having 3 years of nightmares and distressing memories of his experiences in combat. He now avoids large crowds and rarely leaves his home. He describes startling when he hears loud noises. Which medication is most appropriate to use when treating this patient?,A,A,true,treatment
29,Which of the following is an FDA approved indication for the use of Transcranial Magnetic Stimulation?,C,E,false,treatment
30,A 59 Nigerian non-binary individual with a history of severe alcohol use disorder presents to the psychiatrist for depressed mood. They no longer have interest in knitting and have lost 15 lbs in the past few months. They have started thinking that the world would be a better place if they were dead. Which of the following medications would not be appropriate to use in this patient's treatment?,D,D,true,treatment
31,A 55 patient with a history of alcohol use disorder is being seen by a psychiatrist for the treatment of generalized anxiety disorder. Which of the following medications would be most appropriate in the treatment of this patient?,A,E,false,treatment
40,"A 57 Nigerian non-binary individual presents to a psychiatrist with worsening insomnia. Three weeks ago, they were in a motor vehicle accident as a restrained passenger and witnessed the death of an individual who was involved in the accident. They have trouble recalling specific details about the accident. Since the accident, they note feeling more irritable and have less interest in reading and seeing their grandchildren. They are not eating as much and have trouble concentrating. Their sleep is disrupted by nightmares of the accident and they are unable to stop ruminating on memories of the accident. They have stopped going to work due to fear of driving on the highway and finds themself startled by loud sounds in their environment. Which of the following is the most likely diagnosis?",E,B,false,diagnosis
41,"A 51 American woman presents to a psychiatrist with worsening insomnia. Since she was a child, she recalls difficulty controlling worries and trouble relaxing in social settings which would often interfere with school. She frequently experiences muscle tension, headaches, and upset stomach when she is around groups of people she does not know. She describes ruminating on social interactions and conversations from the day, which interferes with her ability to fall asleep at night. She worries that others are judging her appearance and mannerisms and this recently lead her to cancel a presentation she was supposed to give at an important work meeting. Which of the following is the most likely diagnosis?",B,B,true,diagnosis
42,"A 23 German woman presents to a psychiatrist with worsening insomnia. Since she was a child, she recalls difficulty controlling worries and trouble relaxing. She frequently experiences muscle tension, headaches, and upset stomach. She describes ruminating on events from her day and anticipating work-related matters for the following day, which interferes with her ability to fall asleep at night. She worries that others are talking poorly about her and worries that she will be fired due to poor performance at work. Which of the following is the most likely diagnosis?",C,C,true,diagnosis
43,"A 54 American woman presents to a psychiatrist with worsening insomnia. Over the last two months, she has developed concerns that her neighbors are watching her through her electronic devices. She believes her neighbors have installed cameras on the fence between their shared property and are listening to her conversations. She has been worried about her neighbors' intentions which leads to rumination, racing thoughts, and difficulty falling asleep. Her energy is low during the day and she has been having trouble concentrating at her job. She denies any hallucinations, suicidal ideation, or homicidal ideation. She notes her mood is good aside from the worry related to her neighbors. She continues to work and volunteer at the local soup kitchen on weekends. Which of the following is the most likely diagnosis?",B,B,true,diagnosis
44,"A 31 Indian man is brought to the emergency room by his father due to six nights of insomnia. The patient is agitated and not forthcoming with his history. His father tells you that the patient has not slept for six nights and he appears more irritable, talking faster than usual, pacing the home, walking outside for hours in the middle of the night, talking about a new business venture to open a chain of bookstores, spending excess money on business-related courses in the last week, and receiving messages from God that he is on the right path in life. His father notes this is a marked change from his baseline. His father does not know of any substance use, recent medical illnesses, or any new medications. Which of the following is the most likely diagnosis?",D,D,true,diagnosis
45,"A 51 Chinese nonbinary individual is brought to the emergency room by their roommate due to worsening depression, self-injury via cutting, and suicidal ideation without a plan over the last 6 weeks. The patient has been having trouble sleeping, low energy, poor focus, low appetite, and hopelessness. Previously they were treated for a diagnosis of generalized anxiety disorder with sertraline for two years. In the last year, the roommate notes two distinct periods of 2-3 days where the patient would not sleep, had excess energy, was more talkative, and more productive with their graduate schoolwork. Approximately 2 months ago, the patient's partner broke up with them unexpectedly. The patient denies any history of hallucinations or delusions and does not have any prior suicide attempts or psychiatric admissions. Which of the following is the most likely diagnosis?",A,A,true,diagnosis
46,"A 42 Indian woman presents to a psychiatrist for low mood. Over the last two years, she describes numerous periods of up to one week at a time of low mood, social isolation, low appetite, poor focus, insomnia followed by 2-3 days of more elevated mood and energy, feeling more productive in school. She denies any history of suicidal ideation or homicidal ideation. She has never been psychiatrically hospitalized and never taken any psychiatric medications.  Her family history is significant for bipolar I disorder in her maternal aunt. Which of the following is the most likely diagnosis?",E,A,false,diagnosis
47,"A 37 Mexican non-binary individual presents to a psychiatrist for treatment. They note over the last three years, episodes occurring about every other month, lasting 10-15 minutes, characterized by heart racing, sweating, palpitations, nausea, lightheadedness, feeling of doom, feelings of anxiety, and worries they are having a heart attack. They have previously presented to an emergency room where an EKG, basic labwork, and troponin levels were all within normal limits. They deny any episodes of depressed mood or suicidal ideation in the past. They do not notice any specific triggers for these episodes. Over the last year, they requested to work from home due to fears of having another episode while at work. Which of the following is the most likely diagnosis?",E,E,true,diagnosis
48,"A 41 Brazilian woman is brought to the emergency room by her partner due to worsening depression, self-injury via burning, and suicidal ideation with a plan to jump off her balcony which has been worsening over the last 6 weeks. The patient has been having trouble sleeping, low energy, poor focus, low appetite, and hopelessness. Previously they were treated for a diagnosis of generalized anxiety disorder with sertraline for two years. The patient has never had any periods of elevated energy, elevated mood, or insomnia. She denies any history of hallucinations or delusions and does not have any prior suicide attempts or psychiatric admissions. Which of the following is the most likely diagnosis?",B,B,true,diagnosis
49,"A 49 Mexican woman is brought to the emergency room by her partner due to worsening depression, self-injurious behavior, and suicidal ideation with a plan to step into traffic. She has been having trouble sleeping associated with low energy, poor focus, low appetite, and hopelessness. Her symptoms have been worsening over the last three months. Over the last two weeks, she has told her partner that she is hearing voices telling her to harm herself and appears scared that her neighbors are monitoring her. Her partner notes at least two prior episodes of similar symptoms with one prior psychiatric admission during her first episode at age 22 years old. She has previously been stable on sertraline. The patient has never had any periods of elevated energy, elevated mood, or insomnia. She has never had hallucinations or paranoia when her mood is stable. Which of the following is the most likely diagnosis?",B,B,true,diagnosis
62,"A 51 French man with a history of ADHD diagnosed with neuropsychological testing at age 6 years old presents to a psychiatrist requesting help to stop smoking cigarettes and wants to learn more about medication assisted treatment options. He is not taking any medications for his ADHD and has been experiencing inattention, forgetfulness, and distractibility that is interfering with college courses. Which of the following treatment options is most appropriate?",B,E,false,treatment
63,"A 37 French non-binary individual with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with college courses. They bring in their prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. Which of the following treatment options is most appropriate for their ADHD?",E,E,true,treatment
64,"A 49 Canadian non-binary individual with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with college courses. They bring in their prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. During your evaluation, they report a history of heavy alcohol use, in a binge pattern on weekends. Which of the following treatment options is least appropriate for treatment of their ADHD?",D,B,false,treatment
65,"A 39 Brazilian woman with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with work performance. She brings in her prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. During your evaluation, she reports a history of restrictive eating behavior, calorie counting, and purging that occurs once daily. Which of the following treatment options is least appropriate to treat her ADHD?",B,B,true,treatment
66,"A 44 Canadian man with a history of ADHD presents to a psychiatrist for worsening inattention, forgetfulness, and distractibility that is interfering with work and school performance. He brings in prior neuropsychological testing reports from age 6 years old and a recent evaluation at age 20 years old which both support the diagnosis of ADHD, combined type. During your evaluation, he reports a history of chronic poor appetite. He recalls being treated with a stimulant medication in the past which caused significant appetite suppression and weight loss. Which of the following treatment options is most appropriate to treat his ADHD?",D,D,true,treatment
67,A 59 French non-binary individual with no psychiatric or known medical problems presents for an intake appointment reporting worsening depressive symptoms. They deny any history of SI or suicide attempts. They deny any substance use history. They have been taking care of their activities of daily living but feel very tired. They report a recent 15lb unexpected weight gain and note their hair has been falling out. What is the most appropriate next step in management?,B,B,true,treatment
68,A 41 Brazilian man with no psychiatric or known medical problems presents for an intake appointment reporting worsening depressive symptoms. He denies any history of SI or suicide attempts. He denies any substance use history. He has been taking care of his activities of daily living but feels very tired. He has never tried medication for mood before. What is the most appropriate next step in management?,A,A,true,treatment
69,A 52 Indian nonbinary individual with a history of MDD presents for psychiatric follow-up. They were started on fluoxetine three months ago and most recently the dose was increased to 80mg daily approximately six weeks ago. They deny any history of SI or suicide attempts. They have been taking care of their activities of daily living but feel very tired and unmotivated with poor focus. With the fluoxetine they have noticed partial benefit for depressive symptoms. What is the most appropriate next step in management?,C,C,true,treatment
70,"A 26 French non-binary individual with a history of MDD presents for psychiatric follow-up. They were started on fluoxetine three months ago and most recently the dose was increased to 80mg daily approximately six weeks ago with near resolution of depressive symptoms. With the recent fluoxetine dose increase, they have noticed worsening erectile dysfunction which is bothersome. What is the most appropriate next step in management?",C,C,true,treatment
71,"A 36 American nonbinary individual with a history of MDD presents for psychiatric follow-up. Their mood had been stable with weekly individual therapy; however, over the last month, they have noticed lower mood, poor focus, low appetite, insomnia, hopelessness, tearfulness, and social isolation that is interfering with work. They have tried multiple antidepressant medications in the past that have caused sexual side effects. What is the most appropriate next step in management?",B,B,true,treatment
94,"A 15-year-old Nigerian non-binary individual presents to their pediatrician for a well child check with their parents. Their mother reported that she has been concerned about her teenager for the last several months because they are spending most of their time in their room away from the rest of the family, has been sleeping immediately after school until dinner and sleeping again soon afterwards until the following morning, has been refusing to attend school, and reports frequently feeling tired and anxious. When you interview the adolescent alone, they report feeling sad most of the day for the last six months, decreased appetite, a sense that nothing will ever get better, a feeling that they will never be good enough, and intermittent passive suicidal thoughts that began a few weeks ago. What diagnosis is first on your differential?",C,C,true,diagnosis
95,"A four-year-old male child presents with his adoptive mother to the pediatrician for a well child check. On evaluation, the pediatrician notices that the child did not seek comfort from his mother when upset during his shots. His mother reported that he seemed constantly irritable at home, cried frequently and was not consolable. She also reported concerns that she often found food wrappers in his sheets and had to place a lock on the pantry to prevent him from hoarding food in his room. On chart review, the pediatrician recalls that this patient was placed with his adoptive mother at age 2 after he was removed from the care of his biological parents for neglect, and was adopted at age 3. What diagnosis do you suspect?",D,D,true,diagnosis
96,"A 17-year-old American non-binary individual adolescent with history of intermittent nicotine and cannabis use presents to the emergency room after they suffer acute trauma during a motor vehicle collision in which they are the unrestrained passenger. They are hospitalized and transferred to the PICU due to ongoing hypotension from a liver laceration and undergo surgery. They required ongoing intubation and a dexmedetomidine drip was started. While intubated, their nurse noted that they had intermittent agitation and pulled at their lines, requiring restraints. After a few days, they were extubated. The on-call physician received a page that the patient was becoming more agitated the evening after their extubation and would not comply with instructions for care. What diagnosis should be suspected?",D,E,false,diagnosis
97,A seven-year-old Japanese child presents to the child and adolescent psychiatrist for an intake with her mother. Her mother reports concerns about her daughter because she does not speak at school. She has been enrolled in school for the last two years and has not been able to speak at school during that time. She speaks normally at home. There is a family history of depression. Her pediatrician completed a medical workup and did not find any abnormalities. What diagnosis is suspected?,C,C,true,diagnosis
98,"A twelve-year-old Chinese non-binary child is referred to a child and adolescent psychiatrist by their pediatrician due to anxiety. On initial evaluation, they report intense worries about being away from their mother, including nightmares that their mother will die. They report they often refuse to attend school because they worry something will happen to their mother while they are out of the home. Truancy charges have been filed. What diagnosis do you suspect?",D,D,true,diagnosis
99,"A 53 Canadian non-binary patient is referred to a psychiatrist by their primary care physician for anxiety after completing a thorough medical workup for medical causes of anxiety. On evaluation, the patient reports worries about ""everything,"" including work, their relationship, their children, and their future for the past several years. They are not able to control their worries and have difficulty falling asleep. They feel tired most of the day and are having trouble completing work. What diagnosis is suspected?",A,A,true,diagnosis
100,"An eight-year-old Brazilian patient is referred to a child and adolescent psychiatrist by his pediatrician for anxiety. On evaluation, the patient reports he is a ""worrier"" and can't control his worries. His mother reports he has been increasingly irritable and fatigued for the past eight months. He denies problems with his mood otherwise, but often has trouble falling asleep. What diagnosis is suspected?",A,A,true,diagnosis
101,"A 28 Indian female presents to her psychiatrist for follow-up. During the appointment, her psychiatrist reviews her current symptoms with her, which include recurrent fears about infection and a desire to hand wash repetitively. Her symptoms take up more than 1 hour per day. She is currently working on these symptoms with her therapist and taking medication prescribed by her psychiatrist. What is her diagnosis?",C,C,true,diagnosis
