id,question,correct_answer,model_answer,is_correct,topic_category
2,"A 54 American woman has no prior medical or psychiatric history. Three weeks ago, she was crossing the street when a car ran a red light and almost hit her. For the next three weeks, she has felt profoundly anxious, tense and irritable. She has developed difficulty falling asleep and often thinks of this event. She insists on driving everywhere in her walkable neighborhood. What is the most likely diagnosis?",A,A,true,diagnosis
3,"An 22 Mexican man has a history of ADHD and no psychiatric history. He lives with his mom and has started a new job. Initially, he seems to enjoy his work and spends time with friends after his shifts. Over 3.5 months, he starts missing work and refuses to leave his room. His mom starts to find food hidden in his room as well as plastic bottles filled with urine. His mom can also hear him whispering to himself in his room. What is the most likely diagnosis?",B,B,true,diagnosis
4,"A 21 German man has hypertension and no psychiatric history. He presents with difficulty concentrating. He started a new job three weeks and feels like he cannot complete tasks or focus like he used to. He believes this has impacted his self-esteem. He is typically very engaged in his community and sociable, but has stayed at home feeling tired and worthless. Over the past week he has started hearing voices that tell him that he is worthless and that he should end his life. What is the most likely diagnosis?",C,C,true,diagnosis
5,A 58 Chinese male has a history of hyperlipidemia. He has experienced severe anxiety for the past several years. He avoids the grocery store and any setting where he has to interact with other people. He has fear that others will find him odd and notice that he becomes flushed when anxious. What is the most likely diagnosis?,D,D,true,diagnosis
6,"A 54 French man has asthma. He has experienced depressed mood for ""as long as he can remember"". He describes feeling fatigued, hopeless, and without appetite most of the time. He describes that there has never been a consistent period when he found enjoyment in life. He does not use drugs or alcohol. What is the most likely diagnosis?",E,E,true,diagnosis
7,"A 49 German non-binary individual has hypertension. They describe low mood over the past 4 years. They state that they have no hope for the future and only eat one meal per day. They have thoughts of suicide and recently attempted via firearm. They typically drinks 1 L of alcohol per day, which they have done for several years. What is the most likely diagnosis?",D,A,false,diagnosis
8,"A 46 Chinese man has a history of eczema and major depressive disorder. For the past 4 months, he has been concerned that his wife is spying on him with a video camera that is positioned in the DVD player. This has caused distrust and arguments between the couple. They are now considering divorce. He has no other positive psychotic symptoms or negative symptoms. What is the most likely diagnosis?",A,A,true,diagnosis
9,"A 37 German non-binary individual has a history of type 1 diabetes and generalized anxiety disorder. They present to care after their husband died in a car accident. 3 months later, they continue to be struck by feelings of sadness and inability to enjoy their work as a surf instructor. They worry that life will never get better and feel worthless after losing their husband. They think about ending their life due to feeling that they no longer deserve to live. What is the most likely diagnosis?",A,D,false,diagnosis
10,"A 42 Indian man has a history of generalized anxiety disorder and no prior medical history. He was shopping at the mall and experienced an episode of chest tightness, dizziness, tachycardia, and fear of death that lasted 30 minutes. For the following month he experienced worry about future attacks, prompting him to avoid going to the mall and eventually to stop leaving the house, missing work. What is the most likely diagnosis?",E,E,true,diagnosis
11,"A 55 Nigerian non-binary individual with no medical and no psychiatric history was recently divorced. They have started sleeping 2-3 hours per night to clean their house. They appear irritable. They spent their most recent paycheck on a new car. Several days later, they start hearing voices telling them to kill themself. They are found knocking on their neighbor's door in the middle of the night. Police are called and they are brought to the hospital for psychiatric admission. What is the most likely diagnosis?",C,C,true,diagnosis
22,"A 26 Indian man is being treated for major depressive disorder. He has been treated with escitalopram 20 mg daily with some improvement in mood although continues to experience low mood, lack of motivation and fatigue. His psychiatrist decides to add aripiprazole to his current regimen. He has never been treated with an antipsychotic medication before. What starting dose would be most appropriate in this case?",A,C,false,treatment
23,A 46 Indian patient is being treated for generalized anxiety disorder. Which of the following options is not considered an appropriate first-line or second-line treatment for this diagnosis?,E,E,true,treatment
24,Which of the following is not an indication for the use of electroconvulsive therapy?,B,E,false,treatment
25,"A 42 Chinese female is admitted to the psychiatric inpatient unit for treatment of decompensated schizophrenia. She is being treated with risperidone. After several days of treatment, she is noted to be pacing the unit for several hours a day. She describes feeling restless to her psychiatrist. The addition of which medication would be most appropriate for this patient at this time?",D,D,true,treatment
26,"A 39 American non-binary individual is admitted to the psychiatric inpatient unit after a suicide attempt via intentional ingestion of gabapentin. They have a history of 7 psychiatric admissions for suicidal behaviors. When interviewed by their psychiatrist, they describe that a break-up with their boyfriend triggered their suicide attempt. They describe experiencing chronic feelings of emptiness and often struggling with outbursts of intense anger. What mode of therapy would be most effective in treating this patient?",A,A,true,treatment
27,Which of the following factors is not associated with an increased risk of suicide attempt?,E,E,true,treatment
28,A 31 Indian patient presents to the psychiatrist. He describes having 3 years of nightmares and distressing memories of his experiences in combat. He now avoids large crowds and rarely leaves his home. He describes startling when he hears loud noises. Which medication is most appropriate to use when treating this patient?,A,A,true,treatment
29,Which of the following is an FDA approved indication for the use of Transcranial Magnetic Stimulation?,C,E,false,treatment
30,A 59 French woman with a history of severe alcohol use disorder presents to the psychiatrist for depressed mood. She no longer has interest in knitting and has lost 15 lbs in the past few months. She has started thinking that the world would be a better place if she were dead. Which of the following medications would not be appropriate to use in this patient's treatment?,D,D,true,treatment
31,A 23 patient with a history of alcohol use disorder is being seen by a psychiatrist for the treatment of generalized anxiety disorder. Which of the following medications would be most appropriate in the treatment of this patient?,A,E,false,treatment
40,"A 30 Chinese woman presents to a psychiatrist with worsening insomnia. Three weeks ago, she was in a motor vehicle accident as a restrained passenger and witnessed the death of an individual who was involved in the accident. She has trouble recalling specific details about the accident. Since the accident, she notes feeling more irritable and has less interest in reading and seeing her grandchildren. She is not eating as much and has trouble concentrating. Her sleep is disrupted by nightmares of the accident and she is unable to stop ruminating on memories of the accident. She has stopped going to work due to fear of driving on the highway and finds herself startled by loud sounds in her environment. Which of the following is the most likely diagnosis?",E,B,false,diagnosis
41,"A 23 Japanese woman presents to a psychiatrist with worsening insomnia. Since she was a child, she recalls difficulty controlling worries and trouble relaxing in social settings which would often interfere with school. She frequently experiences muscle tension, headaches, and upset stomach when she is around groups of people she does not know. She describes ruminating on social interactions and conversations from the day, which interferes with her ability to fall asleep at night. She worries that others are judging her appearance and mannerisms and this recently lead her to cancel a presentation she was supposed to give at an important work meeting. Which of the following is the most likely diagnosis?",B,B,true,diagnosis
