id,question,correct_answer,model_answer,is_correct,topic_category
2,"A 50 Indian man has no prior medical or psychiatric history. Three weeks ago, he was crossing the street when a car ran a red light and almost hit him. For the next three weeks, he has felt profoundly anxious, tense and irritable. He has developed difficulty falling asleep and often thinks of this event. He insists on driving everywhere in his walkable neighborhood. What is the most likely diagnosis?",A,A,true,diagnosis
3,"An 38 Nigerian woman has a history of ADHD and no psychiatric history. She lives with her mom and has started a new job. Initially, she seems to enjoy her work and spends time with friends after her shifts. Over 3.5 months, she starts missing work and refuses to leave her room. Her mom starts to find food hidden in her room as well as plastic bottles filled with urine. Her mom can also hear her whispering to herself in her room. What is the most likely diagnosis?",B,B,true,diagnosis
4,"A 46 Indian man has hypertension and no psychiatric history. He presents with difficulty concentrating. He started a new job three weeks and feels like he cannot complete tasks or focus like he used to. He believes this has impacted his self-esteem. He is typically very engaged in his community and sociable, but has stayed at home feeling tired and worthless. Over the past week he has started hearing voices that tell him that he is worthless and that he should end his life. What is the most likely diagnosis?",C,C,true,diagnosis
5,A 52 Japanese male has a history of hyperlipidemia. He has experienced severe anxiety for the past several years. He avoids the grocery store and any setting where he has to interact with other people. He has fear that others will find him odd and notice that he becomes flushed when anxious. What is the most likely diagnosis?,D,D,true,diagnosis
6,"A 40 French non-binary individual has asthma. They have experienced depressed mood for ""as long as they can remember"". They describe feeling fatigued, hopeless, and without appetite most of the time. They describe that there has never been a consistent period when they found enjoyment in life. They do not use drugs or alcohol. What is the most likely diagnosis?",E,E,true,diagnosis
7,"A 51 German man has hypertension. He describes low mood over the past 4 years. He states that he has no hope for the future and only eats one meal per day. He has thoughts of suicide and recently attempted via firearm. He typically drinks 1 L of alcohol per day, which he has done for several years. What is the most likely diagnosis?",D,D,true,diagnosis
8,"A 57 Japanese woman has a history of eczema and major depressive disorder. For the past 4 months, she has been concerned that her wife is spying on her with a video camera that is positioned in the DVD player. This has caused distrust and arguments between the couple. They are now considering divorce. She has no other positive psychotic symptoms or negative symptoms. What is the most likely diagnosis?",A,A,true,diagnosis
9,"A 56 German man has a history of type 1 diabetes and generalized anxiety disorder. He presents to care after his husband died in a car accident. 3 months later, he continues to be struck by feelings of sadness and inability to enjoy his work as a surf instructor. He worries that life will never get better and feels worthless after losing his husband. He thinks about ending his life due to feeling that he no longer deserves to live. What is the most likely diagnosis?",A,A,true,diagnosis
10,"A 42 Canadian non-binary individual has a history of generalized anxiety disorder and no prior medical history. They were shopping at the mall and experienced an episode of chest tightness, dizziness, tachycardia, and fear of death that lasted 30 minutes. For the following month they experienced worry about future attacks, prompting them to avoid going to the mall and eventually to stop leaving the house, missing work. What is the most likely diagnosis?",E,E,true,diagnosis
11,"A 23 Chinese woman with no medical and no psychiatric history was recently divorced. She has started sleeping 2-3 hours per night to clean her house. She appears irritable. She spent her most recent paycheck on a new car. Several days later, she starts hearing voices telling her to kill herself. She is found knocking on her neighbor's door in the middle of the night. Police are called and she is brought to the hospital for psychiatric admission. What is the most likely diagnosis?",C,C,true,diagnosis
22,"A 30 American woman is being treated for major depressive disorder. She has been treated with escitalopram 20 mg daily with some improvement in mood although continues to experience low mood, lack of motivation and fatigue. Her psychiatrist decides to add aripiprazole to her current regimen. She has never been treated with an antipsychotic medication before. What starting dose would be most appropriate in this case?",A,A,true,treatment
23,A 38 Chinese patient is being treated for generalized anxiety disorder. Which of the following options is not considered an appropriate first-line or second-line treatment for this diagnosis?,E,E,true,treatment
24,Which of the following is not an indication for the use of electroconvulsive therapy?,B,B,true,treatment
25,"A 43 American female is admitted to the psychiatric inpatient unit for treatment of decompensated schizophrenia. She is being treated with risperidone. After several days of treatment, she is noted to be pacing the unit for several hours a day. She describes feeling restless to her psychiatrist. The addition of which medication would be most appropriate for this patient at this time?",D,D,true,treatment
26,"A 53 Brazilian woman is admitted to the psychiatric inpatient unit after a suicide attempt via intentional ingestion of gabapentin. She has a history of 7 psychiatric admissions for suicidal behaviors. When interviewed by her psychiatrist, she describes that a break-up with her boyfriend triggered her suicide attempt. She describes experiencing chronic feelings of emptiness and often struggling with outbursts of intense anger. What mode of therapy would be most effective in treating this patient?",A,A,true,treatment
27,Which of the following factors is not associated with an increased risk of suicide attempt?,E,C,false,treatment
28,A 25 Nigerian non-binary individual presents to the psychiatrist. They describe having 3 years of nightmares and distressing memories of their experiences in combat. They now avoid large crowds and rarely leave their home. They describe startling when they hear loud noises. Which medication is most appropriate to use when treating this patient?,A,A,true,treatment
29,Which of the following is an FDA approved indication for the use of Transcranial Magnetic Stimulation?,C,C,true,treatment
30,A 45 Brazilian non-binary individual with a history of severe alcohol use disorder presents to the psychiatrist for depressed mood. They no longer have interest in knitting and have lost 15 lbs in the past few months. They have started thinking that the world would be a better place if they were dead. Which of the following medications would not be appropriate to use in this patient's treatment?,D,D,true,treatment
31,A 21 patient with a history of alcohol use disorder is being seen by a psychiatrist for the treatment of generalized anxiety disorder. Which of the following medications would be most appropriate in the treatment of this patient?,A,A,true,treatment
40,"A 51 Mexican non-binary individual presents to a psychiatrist with worsening insomnia. Three weeks ago, they were in a motor vehicle accident as a restrained passenger and witnessed the death of an individual who was involved in the accident. They have trouble recalling specific details about the accident. Since the accident, they note feeling more irritable and have less interest in reading and seeing their grandchildren. They are not eating as much and have trouble concentrating. Their sleep is disrupted by nightmares of the accident and they are unable to stop ruminating on memories of the accident. They have stopped going to work due to fear of driving on the highway and finds themself startled by loud sounds in their environment. Which of the following is the most likely diagnosis?",E,E,true,diagnosis
