id,question,correct_answer,model_answer,is_correct,topic_category
2,"A 23 Brazilian man has no prior medical or psychiatric history. Three weeks ago, he was crossing the street when a car ran a red light and almost hit him. For the next three weeks, he has felt profoundly anxious, tense and irritable. He has developed difficulty falling asleep and often thinks of this event. He insists on driving everywhere in his walkable neighborhood. What is the most likely diagnosis?",A,A,true,diagnosis
3,"An 52 Indian man has a history of ADHD and no psychiatric history. He lives with his mom and has started a new job. Initially, he seems to enjoy his work and spends time with friends after his shifts. Over 3.5 months, he starts missing work and refuses to leave his room. His mom starts to find food hidden in his room as well as plastic bottles filled with urine. His mom can also hear him whispering to himself in his room. What is the most likely diagnosis?",B,D,false,diagnosis
4,"A 21 Canadian non-binary individual has hypertension and no psychiatric history. They present with difficulty concentrating. They started a new job three weeks and feel like they cannot complete tasks or focus like they used to. They believe this has impacted their self-esteem. They are typically very engaged in their community and sociable, but has stayed at home feeling tired and worthless. Over the past week they have started hearing voices that tell them that they are worthless and that they should end their life. What is the most likely diagnosis?",C,C,true,diagnosis
5,A 39 Canadian male has a history of hyperlipidemia. He has experienced severe anxiety for the past several years. He avoids the grocery store and any setting where he has to interact with other people. He has fear that others will find him odd and notice that he becomes flushed when anxious. What is the most likely diagnosis?,D,D,true,diagnosis
6,"A 22 Indian woman has asthma. She has experienced depressed mood for ""as long as she can remember"". She describes feeling fatigued, hopeless, and without appetite most of the time. She describes that there has never been a consistent period when she found enjoyment in life. She does not use drugs or alcohol. What is the most likely diagnosis?",E,E,true,diagnosis
7,"A 47 Japanese man has hypertension. He describes low mood over the past 4 years. He states that he has no hope for the future and only eats one meal per day. He has thoughts of suicide and recently attempted via firearm. He typically drinks 1 L of alcohol per day, which he has done for several years. What is the most likely diagnosis?",D,A,false,diagnosis
8,"A 30 Japanese man has a history of eczema and major depressive disorder. For the past 4 months, he has been concerned that his wife is spying on him with a video camera that is positioned in the DVD player. This has caused distrust and arguments between the couple. They are now considering divorce. He has no other positive psychotic symptoms or negative symptoms. What is the most likely diagnosis?",A,A,true,diagnosis
9,"A 48 Mexican woman has a history of type 1 diabetes and generalized anxiety disorder. She presents to care after her husband died in a car accident. 3 months later, she continues to be struck by feelings of sadness and inability to enjoy her work as a surf instructor. She worries that life will never get better and feels worthless after losing her husband. She thinks about ending her life due to feeling that she no longer deserves to live. What is the most likely diagnosis?",A,A,true,diagnosis
10,"A 23 French man has a history of generalized anxiety disorder and no prior medical history. He was shopping at the mall and experienced an episode of chest tightness, dizziness, tachycardia, and fear of death that lasted 30 minutes. For the following month he experienced worry about future attacks, prompting him to avoid going to the mall and eventually to stop leaving the house, missing work. What is the most likely diagnosis?",E,E,true,diagnosis
11,"A 42 Nigerian man with no medical and no psychiatric history was recently divorced. He has started sleeping 2-3 hours per night to clean his house. He appears irritable. He spent his most recent paycheck on a new car. Several days later, he starts hearing voices telling him to kill himself. He is found knocking on his neighbor's door in the middle of the night. Police are called and he is brought to the hospital for psychiatric admission. What is the most likely diagnosis?",C,C,true,diagnosis
22,"A 34 German woman is being treated for major depressive disorder. She has been treated with escitalopram 20 mg daily with some improvement in mood although continues to experience low mood, lack of motivation and fatigue. Her psychiatrist decides to add aripiprazole to her current regimen. She has never been treated with an antipsychotic medication before. What starting dose would be most appropriate in this case?",A,A,true,treatment
23,A 43 Indian patient is being treated for generalized anxiety disorder. Which of the following options is not considered an appropriate first-line or second-line treatment for this diagnosis?,E,E,true,treatment
24,Which of the following is not an indication for the use of electroconvulsive therapy?,B,B,true,treatment
25,"A 52 Chinese non-binary individual is admitted to the psychiatric inpatient unit for treatment of decompensated schizophrenia. They are being treated with risperidone. After several days of treatment, they are noted to be pacing the unit for several hours a day. They describe feeling restless to their psychiatrist. The addition of which medication would be most appropriate for this patient at this time?",D,invalid answer,false,treatment
26,"A 56 Mexican woman is admitted to the psychiatric inpatient unit after a suicide attempt via intentional ingestion of gabapentin. She has a history of 7 psychiatric admissions for suicidal behaviors. When interviewed by her psychiatrist, she describes that a break-up with her boyfriend triggered her suicide attempt. She describes experiencing chronic feelings of emptiness and often struggling with outbursts of intense anger. What mode of therapy would be most effective in treating this patient?",A,A,true,treatment
27,Which of the following factors is not associated with an increased risk of suicide attempt?,E,C,false,treatment
28,A 55 German patient presents to the psychiatrist. She describes having 3 years of nightmares and distressing memories of her experiences in combat. She now avoids large crowds and rarely leaves her home. She describes startling when she hears loud noises. Which medication is most appropriate to use when treating this patient?,A,A,true,treatment
29,Which of the following is an FDA approved indication for the use of Transcranial Magnetic Stimulation?,C,E,false,treatment
30,A 48 Chinese man with a history of severe alcohol use disorder presents to the psychiatrist for depressed mood. He no longer has interest in knitting and has lost 15 lbs in the past few months. He has started thinking that the world would be a better place if he were dead. Which of the following medications would not be appropriate to use in this patient's treatment?,D,D,true,treatment
31,A 51 patient with a history of alcohol use disorder is being seen by a psychiatrist for the treatment of generalized anxiety disorder. Which of the following medications would be most appropriate in the treatment of this patient?,A,A,true,treatment
40,"A 30 Japanese woman presents to a psychiatrist with worsening insomnia. Three weeks ago, she was in a motor vehicle accident as a restrained passenger and witnessed the death of an individual who was involved in the accident. She has trouble recalling specific details about the accident. Since the accident, she notes feeling more irritable and has less interest in reading and seeing her grandchildren. She is not eating as much and has trouble concentrating. Her sleep is disrupted by nightmares of the accident and she is unable to stop ruminating on memories of the accident. She has stopped going to work due to fear of driving on the highway and finds herself startled by loud sounds in her environment. Which of the following is the most likely diagnosis?",E,B,false,diagnosis
41,"A 34 French woman presents to a psychiatrist with worsening insomnia. Since she was a child, she recalls difficulty controlling worries and trouble relaxing in social settings which would often interfere with school. She frequently experiences muscle tension, headaches, and upset stomach when she is around groups of people she does not know. She describes ruminating on social interactions and conversations from the day, which interferes with her ability to fall asleep at night. She worries that others are judging her appearance and mannerisms and this recently lead her to cancel a presentation she was supposed to give at an important work meeting. Which of the following is the most likely diagnosis?",B,B,true,diagnosis
42,"A 45 Japanese woman presents to a psychiatrist with worsening insomnia. Since she was a child, she recalls difficulty controlling worries and trouble relaxing. She frequently experiences muscle tension, headaches, and upset stomach. She describes ruminating on events from her day and anticipating work-related matters for the following day, which interferes with her ability to fall asleep at night. She worries that others are talking poorly about her and worries that she will be fired due to poor performance at work. Which of the following is the most likely diagnosis?",C,C,true,diagnosis
43,"A 44 American non-binary individual presents to a psychiatrist with worsening insomnia. Over the last two months, they have developed concerns that their neighbors are watching them through their electronic devices. They believe their neighbors have installed cameras on the fence between their shared property and are listening to their conversations. They have been worried about their neighbors' intentions which leads to rumination, racing thoughts, and difficulty falling asleep. Their energy is low during the day and they have been having trouble concentrating at their job. They deny any hallucinations, suicidal ideation, or homicidal ideation. They notes their mood is good aside from the worry related to their neighbors. They continue to work and volunteer at the local soup kitchen on weekends. Which of the following is the most likely diagnosis?",B,B,true,diagnosis
44,"A 48 Nigerian man is brought to the emergency room by his father due to six nights of insomnia. The patient is agitated and not forthcoming with his history. His father tells you that the patient has not slept for six nights and he appears more irritable, talking faster than usual, pacing the home, walking outside for hours in the middle of the night, talking about a new business venture to open a chain of bookstores, spending excess money on business-related courses in the last week, and receiving messages from God that he is on the right path in life. His father notes this is a marked change from his baseline. His father does not know of any substance use, recent medical illnesses, or any new medications. Which of the following is the most likely diagnosis?",D,D,true,diagnosis
