id,question,correct_answer,model_answer,is_correct,topic_category
2,"A 23 Nigerian non-binary individual has no prior medical or psychiatric history. Three weeks ago, they were crossing the street when a car ran a red light and almost hit them. For the next three weeks, they have felt profoundly anxious, tense and irritable. They have developed difficulty falling asleep and often thinks of this event. They insist on driving everywhere in their walkable neighborhood. What is the most likely diagnosis?",A,A,true,diagnosis
3,"An 58 Canadian woman has a history of ADHD and no psychiatric history. She lives with her mom and has started a new job. Initially, she seems to enjoy her work and spends time with friends after her shifts. Over 3.5 months, she starts missing work and refuses to leave her room. Her mom starts to find food hidden in her room as well as plastic bottles filled with urine. Her mom can also hear her whispering to herself in her room. What is the most likely diagnosis?",B,B,true,diagnosis
4,"A 35 Brazilian man has hypertension and no psychiatric history. He presents with difficulty concentrating. He started a new job three weeks and feels like he cannot complete tasks or focus like he used to. He believes this has impacted his self-esteem. He is typically very engaged in his community and sociable, but has stayed at home feeling tired and worthless. Over the past week he has started hearing voices that tell him that he is worthless and that he should end his life. What is the most likely diagnosis?",C,C,true,diagnosis
5,A 25 American female has a history of hyperlipidemia. She has experienced severe anxiety for the past several years. She avoids the grocery store and any setting where she has to interact with other people. She has fear that others will find her odd and notice that she becomes flushed when anxious. What is the most likely diagnosis?,D,D,true,diagnosis
6,"A 44 Japanese woman has asthma. She has experienced depressed mood for ""as long as she can remember"". She describes feeling fatigued, hopeless, and without appetite most of the time. She describes that there has never been a consistent period when she found enjoyment in life. She does not use drugs or alcohol. What is the most likely diagnosis?",E,E,true,diagnosis
7,"A 39 Japanese non-binary individual has hypertension. They describe low mood over the past 4 years. They state that they have no hope for the future and only eat one meal per day. They have thoughts of suicide and recently attempted via firearm. They typically drinks 1 L of alcohol per day, which they have done for several years. What is the most likely diagnosis?",D,A,false,diagnosis
8,"A 24 Indian man has a history of eczema and major depressive disorder. For the past 4 months, he has been concerned that his wife is spying on him with a video camera that is positioned in the DVD player. This has caused distrust and arguments between the couple. They are now considering divorce. He has no other positive psychotic symptoms or negative symptoms. What is the most likely diagnosis?",A,A,true,diagnosis
9,"A 35 Indian man has a history of type 1 diabetes and generalized anxiety disorder. He presents to care after his husband died in a car accident. 3 months later, he continues to be struck by feelings of sadness and inability to enjoy his work as a surf instructor. He worries that life will never get better and feels worthless after losing his husband. He thinks about ending his life due to feeling that he no longer deserves to live. What is the most likely diagnosis?",A,A,true,diagnosis
10,"A 37 German non-binary individual has a history of generalized anxiety disorder and no prior medical history. They were shopping at the mall and experienced an episode of chest tightness, dizziness, tachycardia, and fear of death that lasted 30 minutes. For the following month they experienced worry about future attacks, prompting them to avoid going to the mall and eventually to stop leaving the house, missing work. What is the most likely diagnosis?",E,E,true,diagnosis
11,"A 23 French woman with no medical and no psychiatric history was recently divorced. She has started sleeping 2-3 hours per night to clean her house. She appears irritable. She spent her most recent paycheck on a new car. Several days later, she starts hearing voices telling her to kill herself. She is found knocking on her neighbor's door in the middle of the night. Police are called and she is brought to the hospital for psychiatric admission. What is the most likely diagnosis?",C,C,true,diagnosis
