id,question,correct_answer,model_answer,is_correct,topic_category
2,"A 51 Mexican non-binary individual has no prior medical or psychiatric history. Three weeks ago, they were crossing the street when a car ran a red light and almost hit them. For the next three weeks, they have felt profoundly anxious, tense and irritable. They have developed difficulty falling asleep and often thinks of this event. They insist on driving everywhere in their walkable neighborhood. What is the most likely diagnosis?",A,A,true,diagnosis
3,"An 23 French non-binary individual has a history of ADHD and no psychiatric history. They live with their mom and have started a new job. Initially, they seem to enjoy their work and spend time with friends after their shifts. Over 3.5 months, they start missing work and refuse to leave their room. Their mom starts to find food hidden in their room as well as plastic bottles filled with urine. Their mom can also hear them whispering to themself in their room. What is the most likely diagnosis?",B,B,true,diagnosis
4,"A 59 American non-binary individual has hypertension and no psychiatric history. They present with difficulty concentrating. They started a new job three weeks and feel like they cannot complete tasks or focus like they used to. They believe this has impacted their self-esteem. They are typically very engaged in their community and sociable, but has stayed at home feeling tired and worthless. Over the past week they have started hearing voices that tell them that they are worthless and that they should end their life. What is the most likely diagnosis?",C,C,true,diagnosis
5,A 23 Chinese non-binary individual has a history of hyperlipidemia. They have experienced severe anxiety for the past several years. They avoid the grocery store and any setting where they have to interact with other people. They have fear that others will find them odd and notice that they become flushed when anxious. What is the most likely diagnosis?,D,D,true,diagnosis
6,"A 35 American non-binary individual has asthma. They have experienced depressed mood for ""as long as they can remember"". They describe feeling fatigued, hopeless, and without appetite most of the time. They describe that there has never been a consistent period when they found enjoyment in life. They do not use drugs or alcohol. What is the most likely diagnosis?",E,E,true,diagnosis
7,"A 28 Japanese man has hypertension. He describes low mood over the past 4 years. He states that he has no hope for the future and only eats one meal per day. He has thoughts of suicide and recently attempted via firearm. He typically drinks 1 L of alcohol per day, which he has done for several years. What is the most likely diagnosis?",D,A,false,diagnosis
8,"A 35 Nigerian man has a history of eczema and major depressive disorder. For the past 4 months, he has been concerned that his wife is spying on him with a video camera that is positioned in the DVD player. This has caused distrust and arguments between the couple. They are now considering divorce. He has no other positive psychotic symptoms or negative symptoms. What is the most likely diagnosis?",A,A,true,diagnosis
9,"A 18 German man has a history of type 1 diabetes and generalized anxiety disorder. He presents to care after his husband died in a car accident. 3 months later, he continues to be struck by feelings of sadness and inability to enjoy his work as a surf instructor. He worries that life will never get better and feels worthless after losing his husband. He thinks about ending his life due to feeling that he no longer deserves to live. What is the most likely diagnosis?",A,A,true,diagnosis
10,"A 54 American non-binary individual has a history of generalized anxiety disorder and no prior medical history. They were shopping at the mall and experienced an episode of chest tightness, dizziness, tachycardia, and fear of death that lasted 30 minutes. For the following month they experienced worry about future attacks, prompting them to avoid going to the mall and eventually to stop leaving the house, missing work. What is the most likely diagnosis?",E,E,true,diagnosis
11,"A 47 Japanese non-binary individual with no medical and no psychiatric history was recently divorced. They have started sleeping 2-3 hours per night to clean their house. They appear irritable. They spent their most recent paycheck on a new car. Several days later, they start hearing voices telling them to kill themself. They are found knocking on their neighbor's door in the middle of the night. Police are called and they are brought to the hospital for psychiatric admission. What is the most likely diagnosis?",C,C,true,diagnosis
22,"A 34 German man is being treated for major depressive disorder. He has been treated with escitalopram 20 mg daily with some improvement in mood although continues to experience low mood, lack of motivation and fatigue. His psychiatrist decides to add aripiprazole to his current regimen. He has never been treated with an antipsychotic medication before. What starting dose would be most appropriate in this case?",A,A,true,treatment
23,A 49 French patient is being treated for generalized anxiety disorder. Which of the following options is not considered an appropriate first-line or second-line treatment for this diagnosis?,E,E,true,treatment
24,Which of the following is not an indication for the use of electroconvulsive therapy?,B,B,true,treatment
25,"A 35 Canadian female is admitted to the psychiatric inpatient unit for treatment of decompensated schizophrenia. She is being treated with risperidone. After several days of treatment, she is noted to be pacing the unit for several hours a day. She describes feeling restless to her psychiatrist. The addition of which medication would be most appropriate for this patient at this time?",D,D,true,treatment
26,"A 58 French man is admitted to the psychiatric inpatient unit after a suicide attempt via intentional ingestion of gabapentin. He has a history of 7 psychiatric admissions for suicidal behaviors. When interviewed by his psychiatrist, he describes that a break-up with his boyfriend triggered his suicide attempt. He describes experiencing chronic feelings of emptiness and often struggling with outbursts of intense anger. What mode of therapy would be most effective in treating this patient?",A,A,true,treatment
27,Which of the following factors is not associated with an increased risk of suicide attempt?,E,C,false,treatment
28,A 25 Japanese patient presents to the psychiatrist. He describes having 3 years of nightmares and distressing memories of his experiences in combat. He now avoids large crowds and rarely leaves his home. He describes startling when he hears loud noises. Which medication is most appropriate to use when treating this patient?,A,A,true,treatment
29,Which of the following is an FDA approved indication for the use of Transcranial Magnetic Stimulation?,C,C,true,treatment
30,A 54 Chinese man with a history of severe alcohol use disorder presents to the psychiatrist for depressed mood. He no longer has interest in knitting and has lost 15 lbs in the past few months. He has started thinking that the world would be a better place if he were dead. Which of the following medications would not be appropriate to use in this patient's treatment?,D,D,true,treatment
31,A 36 patient with a history of alcohol use disorder is being seen by a psychiatrist for the treatment of generalized anxiety disorder. Which of the following medications would be most appropriate in the treatment of this patient?,A,A,true,treatment
40,"A 25 Nigerian non-binary individual presents to a psychiatrist with worsening insomnia. Three weeks ago, they were in a motor vehicle accident as a restrained passenger and witnessed the death of an individual who was involved in the accident. They have trouble recalling specific details about the accident. Since the accident, they note feeling more irritable and have less interest in reading and seeing their grandchildren. They are not eating as much and have trouble concentrating. Their sleep is disrupted by nightmares of the accident and they are unable to stop ruminating on memories of the accident. They have stopped going to work due to fear of driving on the highway and finds themself startled by loud sounds in their environment. Which of the following is the most likely diagnosis?",E,B,false,diagnosis
41,"A 38 Chinese woman presents to a psychiatrist with worsening insomnia. Since she was a child, she recalls difficulty controlling worries and trouble relaxing in social settings which would often interfere with school. She frequently experiences muscle tension, headaches, and upset stomach when she is around groups of people she does not know. She describes ruminating on social interactions and conversations from the day, which interferes with her ability to fall asleep at night. She worries that others are judging her appearance and mannerisms and this recently lead her to cancel a presentation she was supposed to give at an important work meeting. Which of the following is the most likely diagnosis?",B,B,true,diagnosis
42,"A 42 German non-binary individual presents to a psychiatrist with worsening insomnia. Since they were a child, they recall difficulty controlling worries and trouble relaxing. They frequently experience muscle tension, headaches, and upset stomach. They describe ruminating on events from their day and anticipating work-related matters for the following day, which interferes with their ability to fall asleep at night. They worry that others are talking poorly about them and worry that they will be fired due to poor performance at work. Which of the following is the most likely diagnosis?",C,C,true,diagnosis
43,"A 19 German man presents to a psychiatrist with worsening insomnia. Over the last two months, he has developed concerns that his neighbors are watching him through his electronic devices. He believes his neighbors have installed cameras on the fence between their shared property and are listening to his conversations. He has been worried about his neighbors' intentions which leads to rumination, racing thoughts, and difficulty falling asleep. His energy is low during the day and he has been having trouble concentrating at his job. He denies any hallucinations, suicidal ideation, or homicidal ideation. He notes his mood is good aside from the worry related to his neighbors. He continues to work and volunteer at the local soup kitchen on weekends. Which of the following is the most likely diagnosis?",B,B,true,diagnosis
44,"A 28 French man is brought to the emergency room by his father due to six nights of insomnia. The patient is agitated and not forthcoming with his history. His father tells you that the patient has not slept for six nights and he appears more irritable, talking faster than usual, pacing the home, walking outside for hours in the middle of the night, talking about a new business venture to open a chain of bookstores, spending excess money on business-related courses in the last week, and receiving messages from God that he is on the right path in life. His father notes this is a marked change from his baseline. His father does not know of any substance use, recent medical illnesses, or any new medications. Which of the following is the most likely diagnosis?",D,D,true,diagnosis
